ISWC;workId;title;creators;source;date
;100000806716;BRIGHTEST MORNING STAR;BRITNEY SPEARS, FURLER SIA KATE I, GOTTWALD LUKASZ, WALTER HENRY;KOMCA;2023.10.18
T-060.822.311-5;100001124755;BRING IT TO ME;FURLER SIA KATE I;KOMCA;2023.10.18
T-060.877.443-1;100001124756;BRING NIGHT;FURLER SIA KATE I, KURSTIN GREG;KOMCA;2023.10.18
T-061.476.112-4;100001124757;BRING THE PARTY;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I;KOMCA;2023.10.18
;100001124758;BRING YOUR ARMS;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.877.444-2;100001124759;BROKE MY HEAD;ANTONY GENN, FURLER SIA KATE I, MARC PILLEY;KOMCA;2023.10.18
T-060.739.387-2;100001124760;BROKEN BISCUIT;CHAD B FISCHER, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.877.445-3;100001124761;BRUISE LIKE A PEAR;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;KOMCA;2023.10.18
;100001124762;BURN THE PAGES;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;KOMCA;2023.10.18
T-060.877.446-4;100001124763;BUS STOP;FURLER SIA KATE I, KURSTIN GREG;KOMCA;2023.10.18
T-060.312.933-4;100001124764;BUT NOTHING;FLAVELL JESSE HEATH, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.735.185-8;100001124765;BUTTERFLIES;FURLER SIA KATE I, J HOGARTH, KEVIN CORMACK;KOMCA;2023.10.18
T-060.948.428-7;100001124766;BUTTONS;FURLER SIA KATE I, MICHAEL MCGROARTY, NICK HUNTINGTON;KOMCA;2023.10.18
T-060.740.330-4;100001124767;BY YOUR SIDE;FURLER SIA KATE I, KURSTIN GREG;KOMCA;2023.10.18
T-060.950.027-7;100001124768;BYE BYE BYE;FISCHER CHAD B, FURLER SIA KATE I;KOMCA;2023.10.18
;100000808327;CANNONBALL;ERIKSEN MIKKEL, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN;KOMCA;2023.10.18
T-060.765.080-5;100001124769;CAR PARK;FURLER SIA KATE I, KURSTIN GREG;KOMCA;2023.10.18
T-060.822.312-6;100001124770;CARES AT THE DOOR;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.877.447-5;100001124771;CATCHING ON;FRANK SAM, FURLER SIA KATE I;KOMCA;2023.10.18
T-914.266.314-7;100001124772;CELLOPHANE;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;KOMCA;2023.10.18
T-061.491.033-6;100000711481;CHANDELIER;FURLER SIA KATE I, SHATKIN JESSE;KOMCA;2023.10.18
T-061.487.700-7;100001124773;CHASING SHADOWS;FURLER SIA KATE I, GARIBAY FERNANDO, KURSTIN GREG;KOMCA;2023.10.18
;100001277173;CHEAP THRILLS;FURLER SIA KATE I, HENRIQUES SEAN PAUL, KURSTIN GREG;KOMCA;2023.10.18
T-061.094.686-5;100000097197;CLAP YOUR HANDS;DIXON SAM, FURLER SIA;KOMCA;2023.10.18
T-060.766.771-9;100001124774;CLOCKWORK;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.822.313-7;100001124775;CLOCKWORK LATEST;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.766.772-0;100001124776;CLOUD;DIXON SAMUEL RONALD, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.417.936-3;100001124777;COMING AROUND;FLAVELL JESSE HEATH, FURLER SIA KATE I;KOMCA;2023.10.18
T-060.811.506-5;100000884363;COULDN'T MAKE;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;KOMCA;2023.10.18
