ISWC;workId;title;creators;source;date
;17562821;BLINDED BY LOVE;FURLER SIA KATE I, GARIBAY FERNANDO;BMI;2024.9.11
;17719434;BOTTOMS UP;FURLER SIA KATE I, PIERSON CATHERINE E, VALENSI NICK;BMI;2024.9.11
;12303300;BOUND TO YOU;AGUILERA CHRISTINA, DIXON SAMUEL RONALD, FURLER SIA KATE I;BMI;2024.9.11
;14980045;BREAK THE WALLS;FITZPATRICK MICHAEL, FURLER SIA KATE I, KARNES JOSEPH SCOTT, KING JAMES MIHDI, RUZUMNA JEREMY, SCAGGS NOELLE A, SEEFRIED CHRISTOPHER, WICKS JOHN MEREDITH;BMI;2024.9.11
;16201777;BREATHE;CORNISH JESSICA, ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK;BMI;2024.9.11
;6250648;BREATHE ME;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;BMI;2024.9.11
;17517393;BRIGHTEST MORNING STAR;FURLER SIA KATE I, GOTTWALD LUKASZ, SPEARS BRITNEY, WALTER HENRY RUSSELL;BMI;2024.9.11
;14003322;BRING IT TO ME;FURLER SIA KATE I;BMI;2024.9.11
;7548510;BRING NIGHT;FURLER SIA KATE I, KURSTIN GREG;BMI;2024.9.11
;6250650;BROKE MY HEAD;FURLER SIA KATE I, GENN ANTONY, PILLEY MARK ALEXANDER;BMI;2024.9.11
;6499161;BROKEN BISCUIT;FISCHER CHAD B, FURLER SIA KATE I;BMI;2024.9.11
;14094014;BRUISE LIKE A PEAR;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;BMI;2024.9.11
;6507592;BULLY;FURLER SIA KATE I, HANSEN BECK, HOGARTH JAMES DEARNESS;BMI;2024.9.11
;17428658;BURN THE PAGES;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;BMI;2024.9.11
;7548511;BUS STOP;FURLER SIA KATE I, KURSTIN GREG;BMI;2024.9.11
;4994227;BUT NOTHING;FLAVELL JESSE HEATH, FURLER SIA KATE I;BMI;2024.9.11
;6250653;BUTTERFLIES;CORMACK KEVIN JAMES, FURLER SIA KATE I, HOGARTH JAMES DEARNESS;BMI;2024.9.11
;8819324;BUTTONS;FURLER SIA KATE I, HUNTINGTON NICK, MC GROARTY MICHAEL T;BMI;2024.9.11
;7382206;BY YOUR SIDE;FURLER SIA KATE I, KURSTIN GREG;BMI;2024.9.11
;9259331;BYE BYE BYE;FISCHER CHAD B, FURLER SIA KATE I;BMI;2024.9.11
;16378837;CANNONBALL;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN JOSEPH;BMI;2024.9.11
;31032711;CANSEI DE SOFRER LOVED ME BACK TO LIFE;FURLER SIA KATE I, HUSSAIN HASHAM S, MOTES DENARIUS ANTHONY, PAVANELLY MARA;BMI;2024.9.11
;7322613;CAR PARK;FURLER SIA KATE I, KURSTIN GREG;BMI;2024.9.11
;10429587;CARES AT THE DOOR;DIXON SAMUEL RONALD, FURLER SIA KATE I;BMI;2024.9.11
