workId;title;creators;source
84168887;CHEAP THRILLS;;SOCAN
84168887;CHEAP THRILLS ALBUM VERSION;;SOCAN
94446370;CHEAP THRILLS CYRIL HAHN REMIX;;SOCAN
94446370;CHEAP THRILLS FEAT SEAN PAUL;;SOCAN
94446370;CHEAP THRILLS FEAT SEAN PAUL LE YOUTH REMIX;;SOCAN
94446370;CHEAP THRILLS HEX COUGAR REMIX;;SOCAN
94446370;CHEAP THRILLS JOHN J C CARR REMIX;;SOCAN
94446370;CHEAP THRILLS NOMERO REMIX;;SOCAN
94446370;CHEAP THRILLS RAC REMIX;;SOCAN
94446370;CHEAP THRILLS REMIX;;SOCAN
84168887;CHEAP THRILLS REMIX FEAT NICKY JAM;;SOCAN
94446370;CHEAP THRILLS STED E AND HYBRID HEIGHTS REMIX;;SOCAN
38073475;CHOOSE OR LOSE WORK IT;;SOCAN
30267514;CHURCH OF WHAT S HAPPENING NOW;;SOCAN
89283605;CITY IS YOURS;;SOCAN
45044142;CLAP YOUR HANDS;;SOCAN
215272691;CLOSING BELL CNBC;;SOCAN
215273579;CLOSING BELL CNBC;;SOCAN
225456522;CLOUD;;SOCAN
33311599;CLOUD;;SOCAN
88356058;CNN HEROES;;SOCAN
33311840;CODEPENDANT;;SOCAN
33382519;CODEPENDANT;;SOCAN
73871782;CODEPENDANT;;SOCAN
33311840;CODEPENDENT;;SOCAN
73871782;CODEPENDENT;;SOCAN
225652885;COLLAPSING;;SOCAN
203913561;COLOGNE;;SOCAN
86222885;CONFETTI;;SOCAN
74638929;CONVERSATION;;SOCAN
73973909;CONVERSATION 1;;SOCAN
74701595;CONVERSATION CUES;;SOCAN
75853056;CONVERSATION CUES;;SOCAN
75029092;CONVERSATION WITH AMANDA DE CADENET;;SOCAN
88283396;CONVICTION;;SOCAN
74681407;CORNER;;SOCAN
215056591;CORONATION STREET;;SOCAN
215059616;CORONATION STREET;;SOCAN
215060539;CORONATION STREET;;SOCAN
215062215;CORONATION STREET;;SOCAN
215069141;CORONATION STREET;;SOCAN
215069784;CORONATION STREET;;SOCAN
215072350;CORONATION STREET;;SOCAN
215072930;CORONATION STREET;;SOCAN
215073463;CORONATION STREET;;SOCAN
215084023;CORONATION STREET;;SOCAN
213579776;COUNTDOWN 2020 E GRAMMY AWARDS;;SOCAN
205837995;COURAGE;;SOCAN
213962428;COURAGE;;SOCAN
211514616;COURAGE TO CHANGE;;SOCAN
89943005;CRITICISE;;SOCAN
224668192;CRUSH ME;;SOCAN
75957158;CRUSH ME;;SOCAN
79836539;CRUSH ME WITH YOUR LOVE;;SOCAN
82740430;CRUSH ME WITH YOUR LOVE;;SOCAN
88492444;CRYING IN THE CLUB;;SOCAN
207150020;CUT TO THE CHASE;;SOCAN
92708984;CUT TO THE CHASE;;SOCAN
71535668;DANS LE NOIR;;SOCAN
92902998;DATING IN THE DARK;;SOCAN
38382088;DAY TOO SOON;;SOCAN
