ISWC;workId;title;creators;source;date
T0611555635;908738203;BIG GIRL/LITTLE GIRL;BINNS HENRY, FURLER SIA KATE I;ASCAP;2023.10.17
T9142663158;887002200;BIRD SET FREE;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP;2023.10.17
T0608917516;321321413;BITING TONGUES;BOGLE SIMON, FURLER SIA KATE I, KOSTEN DAVID JEREMY;ASCAP;2023.10.17
T9247072737;885187532;BLACK BUTTERFLY;BRAIDE CHRISTOPHER KENNETH, BROMFIELD DIONNE, FURLER SIA KATE I;ASCAP;2023.10.17
T0608774419;883896858;BLAME;FRANK SAM, FURLER SIA KATE I;ASCAP;2023.10.17
 ;321796992;BLAME IT ON THE RADIO;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP;2023.10.17
 ;322001758;BLAME IT ON THE RADIO;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP;2023.10.17
T0613806306;884792171;BLANK PAGE;AGUILERA CHRISTINA, BRAIDE CHRIS, FURLER SIA KATE I;ASCAP;2023.10.17
T9143508207;887043196;BLINDED BY LOVE;FURLER SIA KATE I, GARIBAY FERNANDO;ASCAP;2023.10.17
T3090269942;911897751;BORN YESTERDAY;COLEMAN JEREMY MICHAEL, FURLER SIA KATE I, GHERSI RODRIGUEZ ALEJANDRO;ASCAP;2023.10.17
T0615592670;887907942;BOTTLE;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP;2023.10.17
T0615414260;887336290;BOTTOMS UP;FURLER SIA KATE I, PIERSON KATE, VALENSI NICK;ASCAP;2023.10.17
T0611980234;882161075;BOUND TO YOU;AGUILERA CHRISTINA, DIXON SAMUEL RONALD, DIXON SAMUEL RONALD, FURLER SIA KATE I;ASCAP;2023.10.17
 ;888863161;BOY PROBLEMS;FURLER SIA KATE I, JEPSEN CARLY RAE, JEPSEN CARLY RAE, KURSTIN GREG;ASCAP;2023.10.17
T0613826495;884505658;BREAK THE WALLS;FITZPATRICK MICHAEL, FURLER SIA KATE I, KARNES JOSEPH SCOTT, KING JAMES MIHDI, RUZUMNA JEREMY, SCAGGS NOELLE A, SEEFRIED CHRISTOPHER, WICKS JOHN MEREDITH;ASCAP;2023.10.17
T0614502714;885811530;BREATHE;CORNISH JESSICA, ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK;ASCAP;2023.10.17
T0606070192;321100778;BREATHE ME;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP;2023.10.17
T9133648530;886211999;BRIGHTEST MORNING STAR;FURLER SIA KATE I, GOTTWALD LUKASZ, SPEARS BRITNEY, WALTER HENRY RUSSELL;ASCAP;2023.10.17
 ;321801092;BRING IT TO ME;FURLER SIA KATE I, FURLER SIA KATE I;ASCAP;2023.10.17
T0608223115;904869033;BRING IT TO ME;FURLER SIA KATE I;ASCAP;2023.10.17
T9148009205;321522572;BRING NIGHT;FURLER SIA KATE I, KURSTIN GREG;ASCAP;2023.10.17
T0614761124;885186024;BRING THE PARTY;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I;ASCAP;2023.10.17
T0614678613;885186030;BRING YOUR ARMS;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I, PIERSON KATE;ASCAP;2023.10.17
T0607393872;904982327;BROKEN BISCUIT;FISCHER CHAD B, FURLER SIA KATE I;ASCAP;2023.10.17
T0616536005;890049307;BROKEN GLASS;FURLER SIA KATE I, LEAK JASPER MAXIMILLIAN, SHATKIN JESSE SAMUEL;ASCAP;2023.10.17
T0608774453;322067170;BRUISE LIKE A PEAR;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP;2023.10.17
T0607351847;502120332;BULLY;FURLER SIA KATE I, HANSEN BECK DAVID, HOGARTH JAMES DEARNESS;ASCAP;2023.10.17
T9142154276;886977804;BURN THE PAGES;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP;2023.10.17
T0614423798;885129524;BUST ME OUT;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I;ASCAP;2023.10.17
T0607351858;321291134;BUTTERFLIES;CORMACK KEVIN JAMES, FURLER SIA KATE I, HOGARTH JAMES DEARNESS;ASCAP;2023.10.17
T0607351858;322401996;BUTTERFLIES;CORMACK KEVIN JAMES, FURLER SIA KATE I, HOGARTH JAMES DEARNESS;ASCAP;2023.10.17
T0607403304;321424393;BY YOUR SIDE;FURLER SIA KATE I, KURSTIN GREG;ASCAP;2023.10.17
 ;322776458;BYE, BYE, BYE;FISHER CHAD, FURLER SIA KATE I;ASCAP;2023.10.17
 ;322888257;BYE, BYE, BYE;FISHER CHAD, FURLER SIA KATE I;ASCAP;2023.10.17
T9231477784;893608139;CANDY CANE LANE;FURLER SIA KATE I, KURSTIN GREG;ASCAP;2023.10.17
T9294780931;897800270;CANSEI DE SOFRER (LOVED ME BACK TO LIFE);FURLER SIA KATE I, HUSSAIN HASHAM S, MOTES DENARIUS ANTHONY, PAVANELLY MARA;ASCAP;2023.10.17
T0607650805;331671991;CAR PARK;FURLER SIA KATE I, KURSTIN GREG;ASCAP;2023.10.17
T0608223126;333622638;CARES AT THE DOOR;DIXON SAMUEL RONALD, FURLER SIA KATE I;ASCAP;2023.10.17
T9170269724;888921408;CASUALTY;FURLER SIA KATE I, KURSTIN GREGORY ALLEN, MOORE ALECIA B;ASCAP;2023.10.17
T0608774475;883896852;CATCHING ON;FRANK SAM, FURLER SIA KATE I;ASCAP;2023.10.17
T9142663147;887002185;CELLOPHANE;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP;2023.10.17
T9209976670;891991978;CHAINED TO THE RHYTHM;FURLER SIA KATE I, HUDSON KATHERYN ELIZABETH, MARLEY MINTO SKIP, MAX MARTIN, PAYAMI ALI;ASCAP;2023.10.17
T9209976670;911011695;CHAINED TO THE RHYTHM;FURLER SIA KATE I, MARLEY MINTO SKIP, MAX MARTIN, PAYAMI ALI, PERRY KATY;ASCAP;2023.10.17
T9223693412;892947320;CHAMPION;FURLER SIA KATE I, HURLEY ANDREW JOHN, SHATKIN JESSE SAMUEL, STUMPH PATRICK MARTIN, TROHMAN JOSEPH MARK, WENTZ PETER;ASCAP;2023.10.17
T3194611326;921169808;CHAMPION;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP;2023.10.17
T0614910336;886754448;CHANDELIER;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP;2023.10.17
T9194837393;904314378;CHANDELIER REGGAE COVER;FURLER SIA KATE I, JACK PARRY VERNON;ASCAP;2023.10.17
T9192605826;890665359;CHAOS;AALEGRA SNOH, FURLER SIA KATE I, WILSON ERNEST DION;ASCAP;2023.10.17
T9316183172;906175370;CHASING PAPER;DIXON SAMUEL RONALD, FURLER SIA KATE I;ASCAP;2023.10.17
T0614877007;886603903;CHASING SHADOWS;FURLER SIA KATE I, GARIBAY FERNANDO, KURSTIN GREG;ASCAP;2023.10.17
T0616535875;890049305;CHEAP THRILLS;FURLER SIA KATE I, KURSTIN GREG;ASCAP;2023.10.17
T9189875294;890325308;CHEAP THRILLS (FEAT SEAN PAUL);FURLER SIA KATE I, HENRIQUES SEAN PAUL, KURSTIN GREG;ASCAP;2023.10.17
T0610946865;881101792;CLAP YOUR HANDS;DIXON SAMUEL RONALD, FURLER SIA KATE I;ASCAP;2023.10.17
T0607667719;331800912;CLOCKWORK;DIXON SAM, FURLER SIA KATE I, FURLER SIA KATE I;ASCAP;2023.10.17
T3082786203;332103718;CLOCKWORK LATEST;DIXON SAM, FURLER SIA KATE I;ASCAP;2023.10.17
T3021212788;331800930;CLOUD;DIXON SAM, FURLER SIA KATE I, FURLER SIA KATE I;ASCAP;2023.10.17
T0608774486;502351011;CODEPENDANT;FURLER SIA KATE I, KURSTIN GREG;ASCAP;2023.10.17
T9047404999;905544525;COLLAPSING;FURLER SIA KATE I, HUNTINGTON NICK, MC GROARTY MICHAEL T;ASCAP;2023.10.17
T9316326871;906023424;COLOGNE;FURLER SIA KATE I, KARLSSON CHRISTIAN LARS, LIDEHALL MAGNUS CARL ERIK, PONTARE VINCENT FRED;ASCAP;2023.10.17
 ;331983494;COULDN'T MAKE;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP;2023.10.17
T9282664408;897122157;COURAGE;FURLER SIA KATE I, KURSTIN GREG, MOORE ALECIA B;ASCAP;2023.10.17
T9282664419;897122158;COURAGE TO CHANGE;FURLER SIA KATE I, KURSTIN GREG, MOORE ALECIA B;ASCAP;2023.10.17
 ;333295797;CRITICISE;DOHERTY ROYCE ALAN M, FURLER SIA KATE I;ASCAP;2023.10.17
T9143208757;887185597;CRUSH ME WITH YOUR LOVE;BRAIDE CHRIS, FURLER SIA KATE I;ASCAP;2023.10.17
T9214990508;892543823;CRYING IN THE CLUB;CABELLO CAMILA, FRANK DAVID MARTIN, FURLER SIA KATE I, HOIBERG MAGNUS, KIPNER STEPHEN ALAN, LEVIN BENJAMIN JOSEPH, PEREZ NATHAN, SHEYNE PAMELA;ASCAP;2023.10.17
T9256201215;888421817;CUT TO THE CHASE;CHARNIN MARTIN, ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, GLUCK WILLIAM, HERMANSEN TOR ERIK, KURSTIN GREG, LEVIN BENJAMIN, STROUSE CHARLES;ASCAP;2023.10.17
T0616846980;895284936;CUT TO THE CHASE;CHARNIN MARTIN, ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, GLUCK WILLIAM, HERMANSEN TOR ERIK, KURSTIN GREGORY ALLEN, LEVIN BENJAMIN, STROUSE CHARLES;ASCAP;2023.10.17
T0617972925;895207647;DAY THAT YOU MOVED ON;FURLER SIA KATE I, MCALL BARNABY JOHNATHON;ASCAP;2023.10.17
T9245922241;342652277;DAY TOO SOON;DIXON SAMUEL RONALD, FURLER SIA KATE I;ASCAP;2023.10.17
T0608774500;341893232;DEATH BY CHOCOLATE;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP;2023.10.17
T0617935848;893007654;DEER IN HEADLIGHTS;DIXON SAMUEL RONALD, FURLER SIA KATE I;ASCAP;2023.10.17
T0615882557;888635815;DEJA VU;FURLER SIA KATE I, MORODER GIORGIO;ASCAP;2023.10.17
T3014186137;908962607;DEL MAR;APONTE JOSE ANTONIO, COTTO JOSE OSVALDO JR, DLAMINI AMALA RATNA, FLORES DONNY, FURLER SIA KATE I, GOTAY ALEXIS, OZUNA ROSADO JAN CARLOS, RIVAS BATISTA STARLIN, RIVERA LOPEZ YAZID ANTONIO, SHATKIN JESSE SAMUEL, VARGAS BERRIOS EDUARDO ALFONSO;ASCAP;2023.10.17
 ;894583586;DEMONS;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN JOSEPH;ASCAP;2023.10.17
T9203770405;891650044;DER MEISTER GRILLT;FURLER SIA KATE I, KURSTIN GREG;ASCAP;2023.10.17
T0605064570;340534176;DESTINY;BARKER SOPHIE ALEXANDRA JESSICA, BINNS HENRY DANIEL, FURLER SIA KATE I, HARDAKER SAM;ASCAP;2023.10.17
T0608318713;880280326;DESTINY (PHOTEK REMIX);BARKER SOPHIE ALEXANDRA JESSICA, BINNS HENRY DANIEL, FURLER SIA KATE I, HARDAKER SAM;ASCAP;2023.10.17
T0617609321;892527767;DEVIL IN ME;FRANGIPANE ASHLEY, FURLER SIA KATE I, KURSTIN GREG;ASCAP;2023.10.17
T9310670043;906284989;DIAMANTS;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN;ASCAP;2023.10.17
T3055786744;912258693;DIAMOND EYES;BENJAMIN EDDIE, FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP;2023.10.17
T0613703471;884664637;DIAMONDS;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN;ASCAP;2023.10.17
T9093413184;884772770;DIAMONDS (REMIX) (FEAT. KANYE WEST);ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN, WEST KANYE;ASCAP;2023.10.17
T9093413184;916570570;DIAMONDS REMIX;ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK, LEVIN BENJAMIN JOSEPH, WEST KANYE OMARI;ASCAP;2023.10.17
T0615031190;886148868;DIM THE LIGHTS;DILLARD LAUREN WILDER, FLAX LAUREN RENEE, FURLER SIA KATE I, MALPASS KEVIN;ASCAP;2023.10.17
T0607667731;341399053;DISHWATER;DIXON SAM, FURLER SIA KATE I, FURLER SIA KATE I;ASCAP;2023.10.17
T0605064581;340514796;DISTRACTIONS;ALLISON DOROTHY ELLIOT, BINNS HENRY DANIEL, BUCKLEY TIM, FURLER SIA KATE I, HARDAKER SAM;ASCAP;2023.10.17
T9282664680;897122184;DIVE;FURLER SIA KATE I, KURSTIN GREG, MOORE ALECIA B;ASCAP;2023.10.17
T0608774511;883896854;DO I EXPECT TO BE REJECTED;FRANK SAM, FURLER SIA KATE I;ASCAP;2023.10.17
T9327103402;907658908;DOLITTLE;DOUGLAS SEAN, FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP;2023.10.17
T0606765552;341158330;DON T BRING ME DOWN;FURLER SIA KATE I, MACKICHAN BLAIR N S;ASCAP;2023.10.17
 ;916803083;DON'T GIVE UP (FEAT. SIA & BUSTA RHYMES);DA SILVA ANDRE MURILO, FURLER SIA KATE I, GRIGG ALLAN PETER, MENSAH VICTOR KWESI, PINHEIRO GODOY, SMITH TREVOR, SPIEGEL SAM;ASCAP;2023.10.17
 ;916801294;DON'T GIVE UP (FEAT. SIA & BUSTA RHYMES) - SH;DA SILVA ANDRE MURILO, FURLER SIA KATE I, GRIGG ALLAN PETER, MENSAH VICTOR KWESI, PINHEIRO GODOY, SMITH TREVOR, SPIEGEL SAM;ASCAP;2023.10.17
T0607502486;883896842;DON'T TRUST HIM;FRANK SAM, FURLER SIA KATE I;ASCAP;2023.10.17
T0614614833;885978512;DOUBLE RAINBOW;FURLER SIA KATE I, KURSTIN GREGORY ALLEN, PERRY KATY;ASCAP;2023.10.17
 ;341733753;DREAMING;BINNS HENRY DANIEL, FURLER SIA KATE I, HARDAKER SAM, UNCLAIMED WTR CHARE;ASCAP;2023.10.17
T0615082115;887002188;DRESSED IN BLACK;FURLER SIA KATE I, KURSTIN GREGORY ALLEN, MICHAELS GRANT PHILLIP;ASCAP;2023.10.17
T0605127432;640416002;DRINK TO GET DRUNK;FRANK SAMUEL JAMES, FURLER SIA KATE I;ASCAP;2023.10.17
T0608463951;341740076;DUET;FURLER SIA KATE I, FURLER SIA KATE I, MENDEZ LESTER A, NOONAN KATIE ANNE;ASCAP;2023.10.17
 ;342717359;DUET;FURLER SIA KATE I, MENDEZ LESTER, NOONAN KATIE ANNE;ASCAP;2023.10.17
T9224448695;893195973;DUSK TILL DAWN;FURLER SIA KATE I, KURSTIN GREG, MALIK ZAIN JAVADD, ORIET ALEXANDER, PHELAN DAVID ANTHONY;ASCAP;2023.10.17
 ;340939891;DUST;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP;2023.10.17
T3031248365;910935035;DYNAMITE;FURLER SIA KATE I, HENRIQUES SEAN PAUL, KURSTIN GREG, LODGE NYANN RAYMOND, RASTOGI YANNICK, RAYMOND ZACHARIE ALEXANDRE;ASCAP;2023.10.17
T3090489746;914968259;DYNAMITE FEAT. SIA AND MISS LAFAMILIA (BANX &;BLAKE FARRA HEIDI MONICA O'HANLON DOUGLAS, FURLER SIA KATE I, HENRIQUES SEAN PAUL, KURSTIN GREG, LAYTON CHRISTOPHER JAMES OSBORN, LODGE NYANN RAYMOND, RASTOGI YANNICK, RAYMOND ZACHARIE ALEXANDRE;ASCAP;2023.10.17
T0617936114;892886445;EASY;FURLER SIA KATE I, MCKENZIE TIMOTHY LEE;ASCAP;2023.10.17
T9157738959;887809632;EASY STREET (2014 FILM VERSION);CHARNIN MARTIN, FURLER SIA KATE I, GLUCK WILLIAM, KURSTIN GREGORY ALLEN, STROUSE CHARLES;ASCAP;2023.10.17
T9157738959;887896012;EASY STREET (2014 FILM VERSION);CHARNIN MARTIN, FURLER SIA KATE I, GLUCK WILLIAM, KURSTIN GREG, STROUSE CHARLES;ASCAP;2023.10.17
 ;894207761;EKG;FURLER SIA KATE I, SHUCKBURGH ALEXANDER;ASCAP;2023.10.17
T9106879747;917655314;ELASTIC HEART;FURLER SIA KATE I, PENTZ THOMAS WESLEY, SWANSON ANDREW FITZGERALD;ASCAP;2023.10.17
T9106879747;885953600;ELASTIC HEART FEAT THE WEEKND & DIPLO;FURLER SIA KATE I, PENTZ THOMAS WESLEY, SWANSON ANDREW FITZGERALD, TESFAYE ABEL;ASCAP;2023.10.17
T0609478401;351444430;ELECTRIC BIRD;BINNS HENRY DANIEL, FURLER SIA KATE I;ASCAP;2023.10.17
T0607502497;883896840;EVER;FRANK SAM, FURLER SIA KATE I;ASCAP;2023.10.17
T0608774533;351024714;EVERYDAY;FURLER SIA KATE I, MENDEZ LESTER A;ASCAP;2023.10.17
T9231477808;893608140;EVERYDAY IS CHRISTMAS;FURLER SIA KATE I, KURSTIN GREG;ASCAP;2023.10.17
T9288091054;897592927;EVERYDAY IS HALLOWEEN;DIXON SAMUEL RONALD, FURLER SIA KATE I, PIERSON KATE;ASCAP;2023.10.17
 ;352185352;EVERYONE'S CHILD;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP;2023.10.17
 ;904102979;EVERYTHING YOU NEEDED;BRAIDE CHRISTOPHER, FURLER SIA KATE I;ASCAP;2023.10.17
 ;350566435;EXISTED;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP;2023.10.17
T9149927399;888665758;EXPERTEASE (READY SET GO);FELDER WARREN, FURLER SIA KATE I, LOPEZ JENNIFER, MOSTYN STEVE, WANSEL ANDREW;ASCAP;2023.10.17
T0614423801;887335225;EYE OF THE NEEDLE;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I;ASCAP;2023.10.17
T0617935462;893195966;EYE TO EYE;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP;2023.10.17
T0607667742;361142774;FACING AWAY;DIXON SAM, FURLER SIA KATE I, FURLER SIA KATE I;ASCAP;2023.10.17
T9142657134;887002192;FAIR GAME;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP;2023.10.17
T0605849828;883896837;FANCY ME?;FRANK SAM, FURLER SIA KATE I;ASCAP;2023.10.17
T0605836596;917309950;FEAR;FURLER SIA KATE I;ASCAP;2023.10.17
T0615081963;887015462;FIRE MEETS GASOLINE;DIXON SAMUEL RONALD, FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP;2023.10.17
T0616330494;889567822;FIRECRACKER;FURLER SIA KATE I, KURSTIN GREG;ASCAP;2023.10.17
T9148139677;884337716;FIREFLY;FURLER SIA KATE I, MCALL BARNABY JOHNATHON, SLATER GIAN ELIZABETH;ASCAP;2023.10.17
T0616538158;890049300;FIST FIGHTING A SANDSTORM;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP;2023.10.17
T9190189754;887164136;FLASHLIGHT;FURLER SIA KATE I, GUZMAN CHRISTIAN NICOLAS, MOORE JASON, SMITH SAMUEL FREDERICK;ASCAP;2023.10.17
T3031210392;910782281;FLOATING THROUGH SPACE;FURLER SIA KATE I, KURSTIN GREG;ASCAP;2023.10.17
 ;361344770;FLOWERS;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP;2023.10.17
 ;361489418;FLOWERS;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP;2023.10.17
 ;883209278;FOLLOW ME;BINNS HENRY, FURLER SIA KATE I, MTUNGWASI ESKA;ASCAP;2023.10.17
T9202117633;890020508;FOOTPRINTS;FURLER SIA KATE I, SEETHARAM NIKHIL SHANKER, VALLE JOSHUA, WILLIAMS TYLER MATHEW CARL;ASCAP;2023.10.17
T0612708878;893069468;FREE ME;FURLER SIA KATE I, PIANE LUCIAN MICHAEL, PLANE LUCIAN;ASCAP;2023.10.17
T0615082091;887002197;FREE THE ANIMAL;FURLER SIA KATE I, KURSTIN GREGORY ALLEN, LEAK JASPER MAXIMILLIAN;ASCAP;2023.10.17
 ;895894020;GALAXY;ARSENAULT RENE, FURLER SIA KATE I, MOHLER BILLY;ASCAP;2023.10.17
T0618919224;896012485;GALAXY;ARSENAULT RENE C, FURLER SIA KATE I, MOHLER WILLIAM JON;ASCAP;2023.10.17
T0607667753;370924251;GARDEN;DIXON SAM, FURLER SIA KATE I, FURLER SIA KATE I;ASCAP;2023.10.17
T0615971431;888878142;GASOLINE;BLAIR PAUL, FURLER SIA KATE I, MONSON NICK;ASCAP;2023.10.17
T9243594594;894786683;GENIUS;FURLER SIA KATE I, MCKENZIE TIMOTHY LEE, MECKSEPER PHILIP, PENTZ THOMAS WESLEY;ASCAP;2023.10.17
T9281550990;896767479;GENIUS (LIL WAYNE REMIX);CARTER DWAYNE, FURLER SIA KATE I, MCKENZIE TIMOTHY LEE, MECKSEPER PHILIP, PENTZ THOMAS WESLEY;ASCAP;2023.10.17
T9103766241;885494709;GENTLEMEN;FURLER SIA KATE I, GAD TOBY;ASCAP;2023.10.17
T9113432976;885955263;GET OVER YOU;FURLER SIA KATE I, HITCH NEON, LEVIN BENJAMIN JOSEPH;ASCAP;2023.10.17
T3213840332;921879493;GIMME LOVE;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP;2023.10.17
T0117274573;370558540;GIRL YOU LOST TO COCAINE;ALLUM ROBERT DOUGLAS, FURLER SIA KATE I, MARTEN PHILIP, MYER MATTHEW EDWARD TRISTRAM;ASCAP;2023.10.17
T9220945766;892892424;GO GET IT;AJIBADE OLUWATOSIN, FURLER SIA KATE I, MECKSEPER PHILIP, PENTZ THOMAS WESLEY, PICARD CLEMENT MARIE JACQUES, PICARD MAXIME MARIE LAURENT;ASCAP;2023.10.17
T3214726742;921885467;GO ON;FURLER SIA KATE I, HARRIS JASPER, HOIBERG MAGNUS, LEVIN BENJAMIN, SHATKIN JESSE SAMUEL;ASCAP;2023.10.17
T0614707708;886331407;GOD MADE YOU BEAUTIFUL;BRAIDE CHRIS, FURLER SIA KATE I, KNOWLES BEYONCE GISSELLE;ASCAP;2023.10.17
