ISWC;workId;title;creators;source
T-305.578.674-4;;[International Music] DIAMOND EYES - 100003730953;;KOMCA
T-061.370.347-1;;[International Music] DIAMONDS - 100000398065;;KOMCA
T-916.634.127-1;;[International Music] DIAMONDS (REMIX) - 100001124787;;KOMCA
T-061.503.119-0;;[International Music] DIM THE LIGHTS - 100001124788;;KOMCA
T-060.766.773-1;;[International Music] DISHWATER - 100001124789;;KOMCA
T-060.506.458-1;;[International Music] DISTRACTIONS - 0000M0008610;;KOMCA
T-060.877.451-1;;[International Music] DO I EXPECT TO BE REJECTED - 100001124790;;KOMCA
T-916.851.222-9;;[International Music] DON T GIVE UP - 100002028161;;KOMCA
T-060.676.555-2;;[International Music] DON'T BRING ME DOWN - 100001124819;;KOMCA
;;[International Music] DON'T GET ME STARTED - 100001124791;;KOMCA
T-314.186.197-0;;[International Music] DON'T GIVE UP (FEAT. SIA & BUSTA RHYMES) - 100005030282;;KOMCA
T-060.750.248-6;;[International Music] DON'T TRUST HIM - 100001124792;;KOMCA
;;[International Music] DON'T WANT TO WANT YOU - 100001124793;;KOMCA
T-060.418.086-0;;[International Music] DOUBLE - 100001124794;;KOMCA
;;[International Music] DOUBLE RAINBOW - 100000567106;;KOMCA
T-060.839.785-8;;[International Music] DREAMING - 100001124795;;KOMCA
T-061.508.211-5;;[International Music] DRESSED IN BLACK - 100001124796;;KOMCA
T-060.512.743-2;;[International Music] DRINK TO GET DRUNK - 100001124797;;KOMCA
T-060.846.395-1;;[International Music] DUET - 100001124798;;KOMCA
T-915.773.895-9;;[International Music] EASY STREET (2014 FILM VERSION) - 100001124799;;KOMCA
T-061.457.978-0;;[International Music] ELASTIC HEART - 100000616887;;KOMCA
T-913.870.827-7;;[International Music] ELASTIC HEART (NEW) - 100001124800;;KOMCA
T-060.947.840-1;;[International Music] ELECTRIC BIRD - 100001124801;;KOMCA
T-060.750.249-7;;[International Music] EVER - 100001124802;;KOMCA
T-060.877.453-3;;[International Music] EVERYDAY - 100001124803;;KOMCA
T-061.077.097-2;;[International Music] EVERYONE'S CHILD - 100001124804;;KOMCA
T-061.539.540-8;;[International Music] EXPERTEASE (READY SET GO) - 100001124805;;KOMCA
T-060.766.774-2;;[International Music] FACING AWAY - 100001124806;;KOMCA
T-914.265.713-4;;[International Music] FAIR GAME - 100001124807;;KOMCA
T-060.584.982-8;;[International Music] FANCY ME - 100001124808;;KOMCA
T-060.583.659-6;;[International Music] FEAR - 100001124809;;KOMCA
T-061.633.049-4;;[International Music] FIRECRACKER - 100001124810;;KOMCA
;;[International Music] FLASHLIGHT - 100000848403;;KOMCA
;;[International Music] FLASHLIGHT - 100001270245;;KOMCA
T-060.821.845-6;;[International Music] FLOWERS - 100001124811;;KOMCA
T-061.270.887-8;;[International Music] FREE ME - 100001124812;;KOMCA
T-061.593.301-1;;[International Music] FREEZE YOU OUT - 100001124813;;KOMCA
T-060.766.775-3;;[International Music] GARDEN - 100001124814;;KOMCA
;;[International Music] GENIUS - 100002335731;;KOMCA
T-910.376.624-1;;[International Music] GENTLEMEN - 100001124815;;KOMCA
T-060.282.371-1;;[International Music] GET IT TOGETHER - 100001124816;;KOMCA
T-060.417.935-2;;[International Music] GET ME - 100001124817;;KOMCA
T-061.326.417-7;;[International Music] GET OVER U - 100001124869;;KOMCA
;;[International Music] GET OVER YOU - 100002519218;;KOMCA
;;[International Music] GO GET IT - 100004948091;;KOMCA
T-061.470.770-8;;[International Music] GOD MADE YOU BEAUTIFUL - 100001124870;;KOMCA
T-914.135.151-1;;[International Music] GODZILLIONAIRE - 100001124871;;KOMCA
;;[International Music] GOLDEN - 100001168147;;KOMCA
T-060.312.943-6;;[International Music] GOT TO GET TO YOU - 100001124872;;KOMCA
T-061.442.342-5;;[International Music] GUITARS AND MICROPHONES - 100001124873;;KOMCA
;;[International Music] GUTS OVER FEAR - 100000792441;;KOMCA
T-060.694.526-9;;[International Music] HAPPY TO RETURN - 100001124874;;KOMCA
T-060.673.339-4;;[International Music] HEALING IS DIFFICULT - 100001124875;;KOMCA
T-928.317.151-7;;[International Music] HEAVEN CAN WAIT - 100002526643;;KOMCA
;;[International Music] HEAVENLY PINEAPPLE - 100001124876;;KOMCA
;;[International Music] HEY BOY - 100003295279;;KOMCA
T-302.115.211-0;;[International Music] HEY BOY - 100003289071;;KOMCA
T-060.730.453-9;;[International Music] HILLS AND PEAKS - 100001124877;;KOMCA
T-060.821.846-7;;[International Music] HOLD ME DOWN - 100001124878;;KOMCA
T-061.187.527-4;;[International Music] HOLD ON - 100001124879;;KOMCA
;;[International Music] HOLOGRAM (SMOKE AND MIRRORS) - 100001124880;;KOMCA
;;[International Music] HOME IS THE ENEMY - 100001273309;;KOMCA
T-060.418.414-6;;[International Music] HOW TO BREATHE - 100001124881;;KOMCA
T-060.418.415-7;;[International Music] HOW TO BREATHE (ACAPELLA VERSION) - 100001124882;;KOMCA
T-060.312.948-1;;[International Music] HURT A LITTLE LESS - 100001124883;;KOMCA
T-061.094.687-6;;[International Music] HURTING ME NOW - 100001124884;;KOMCA
T-061.238.266-7;;[International Music] I AM FOUND - 100001124885;;KOMCA
;;[International Music] I AM ME - 100001124886;;KOMCA
T-060.877.454-4;;[International Music] I DON'T LOVE ME - 100001124887;;KOMCA
T-915.773.982-7;;[International Music] I DON'T NEED ANYTHING BUT YOU (2014 FILM VERSION) - 100001124888;;KOMCA
;;[International Music] I DON'T WANT TO PLAY - 100001124889;;KOMCA
T-060.877.456-6;;[International Music] I LOVE EVERYTHING - 100001124890;;KOMCA
T-061.293.370-6;;[International Music] I LOVE IT - 100001124891;;KOMCA
T-061.293.370-6;;[International Music] I LOVE IT(FEAT SIA) (TRIALS REMIX) - 100001124892;;KOMCA
T-915.903.362-2;;[International Music] I THINK I'M GONNA LIKE IT HERE (2014 FILM VERSION) - 100001124893;;KOMCA
;;[International Music] I'LL LIVE YOUR DREAM - 100001124894;;KOMCA
T-060.653.808-2;;[International Music] I'M NOT IMPORTANT TO YOU - 100001124895;;KOMCA
T-926.804.404-8;;[International Music] I'M STILL HERE - 100002489537;;KOMCA
;;[International Music] I'M THE LAST ONE STANDING - 100001124896;;KOMCA
T-060.877.458-8;;[International Music] I'VE BEEN STUNG - 100001124897;;KOMCA
;;[International Music] IF I CAN'T HAVE YOU - 100001124898;;KOMCA
;;[International Music] IF YOU SAY SO - 100001124899;;KOMCA
T-910.061.659-9;;[International Music] ILLUMINATION - 100001124900;;KOMCA
;;[International Music] INSIDIOUSLY - 100001124901;;KOMCA
;;[International Music] INTERLUDES - 100001124902;;KOMCA
T-061.548.556-7;;[International Music] INVINCIBLE - 100001124903;;KOMCA
;;[International Music] IS GOD ONLY IN SOME - 100001124904;;KOMCA
;;[International Music] IT'S TIME - 100002526644;;KOMCA
T-060.877.459-9;;[International Music] JAZZ HANDS - 100001124905;;KOMCA
;;[International Music] JE TE PARDONNE FEAT SIA - 100001420012;;KOMCA
T-060.664.305-3;;[International Music] JUDGE ME - 100001124906;;KOMCA
T-060.311.741-4;;[International Music] JUNGLE - 100001124907;;KOMCA
T-910.386.429-5;;[International Music] KILL AND RUN - 100000676490;;KOMCA
T-909.999.440-8;;[International Music] KILL F K MARRY - 100001124908;;KOMCA
T-061.490.280-5;;[International Music] KISS ME ONCE - 100001124909;;KOMCA
T-060.877.460-2;;[International Music] KISS MYSELF ALL OVER - 100001124910;;KOMCA
;;[International Music] KISS OF DEATH - 100002501237;;KOMCA
T-061.495.857-4;;[International Music] KNOCK YOU OUT - 100001124911;;KOMCA
T-061.385.202-0;;[International Music] LAYING DOWN - 100001124912;;KOMCA
T-060.766.776-4;;[International Music] LEAVE NOW - 100001124913;;KOMCA
T-061.392.284-1;;[International Music] LET ME LOVE YOU (UNTIL YOU LEARN TO LOVE YOURSELF) - 100000415062;;KOMCA
T-916.177.000-9;;[International Music] LET YOUR TEARS FALL - 100001124914;;KOMCA
T-925.569.981-1;;[International Music] LIGHT HEADED - 100002460335;;KOMCA
T-061.510.130-8;;[International Music] LIGHTHEADED - 100001124915;;KOMCA
;;[International Music] LIKE YOU PIANO - 100001124963;;KOMCA
T-926.484.517-2;;[International Music] LIMITLESS - 100002501008;;KOMCA
T-915.773.881-3;;[International Music] LITTLE GIRLS (2014 FILM VERSION) - 100001124964;;KOMCA
T-060.608.287-4;;[International Music] LITTLE MAN - 100001124965;;KOMCA
;;[International Music] LIVING OUT LOUD - 100001124966;;KOMCA
T-060.940.841-4;;[International Music] LOSING YOU - 100001124967;;KOMCA
T-061.557.318-6;;[International Music] LOVE IS A LEAP OF FAITH - 100001124968;;KOMCA
T-909.839.013-7;;[International Music] LOVED ME BACK TO LIFE - 100001124969;;KOMCA
T-060.694.527-0;;[International Music] LUCKY - 100001124970;;KOMCA
T-060.312.936-7;;[International Music] MAD LOVE - 100001124971;;KOMCA
T-923.660.836-9;;[International Music] MAGIC - 100002546903;;KOMCA
T-916.270.127-1;;[International Music] MAGNIFY MY LOVE - 100001124972;;KOMCA
T-061.197.973-7;;[International Music] MAKE IT THROUGH THE NIGHT - 100001124973;;KOMCA
T-061.476.113-5;;[International Music] MAKING THE MOST OF THE NIGHT - 100001124974;;KOMCA
T-060.607.023-8;;[International Music] MAN EMBRACES CHANGE - 100001124975;;KOMCA
T-060.607.025-0;;[International Music] MAN ON THE TUBE - 100001124976;;KOMCA
T-061.094.689-8;;[International Music] MARCELLE - 100001124977;;KOMCA
T-061.541.842-2;;[International Music] MATRIX - 100001124978;;KOMCA
T-060.291.226-4;;[International Music] MAXIMISE - 100001124979;;KOMCA
T-060.766.778-6;;[International Music] MISTAKES - 100001124980;;KOMCA
T-061.541.843-3;;[International Music] MISTER SISTER - 100001124981;;KOMCA
;;[International Music] MOODSWINGS - 100001124982;;KOMCA
T-060.735.183-6;;[International Music] MOON - 100001124983;;KOMCA
T-061.558.567-5;;[International Music] MOONQUAKE LAKE - 100001124984;;KOMCA
T-061.793.578-0;;[International Music] MOUNTAINS - 100002491089;;KOMCA
;;[International Music] MY HEART IS OPEN - 100000818295;;KOMCA
T-061.160.197-8;;[International Music] MY LOVE - 100001124985;;KOMCA
T-923.841.349-5;;[International Music] MY OLD SANTA CLAUS - 100002489515;;KOMCA
T-060.694.538-3;;[International Music] NATALE'S SONG - 100001124986;;KOMCA
T-060.418.085-9;;[International Music] NEVER AGAIN - 100001124987;;KOMCA
T-061.094.690-1;;[International Music] NEVER GONNA LEAVE ME - 100001124988;;KOMCA
T-060.822.315-9;;[International Music] NEWCLOUD - 100001124989;;KOMCA
T-060.822.316-0;;[International Music] NEWDISHWATER - 100001124990;;KOMCA
T-060.822.317-1;;[International Music] NEWSILENCE - 100001124991;;KOMCA
T-928.317.147-1;;[International Music] NO NEW FRIENDS - 100002526642;;KOMCA
T-061.197.974-8;;[International Music] NORMAL IS A RUMOUR - 100001124992;;KOMCA
T-060.673.856-0;;[International Music] NOT IMPORTANT - 100001124993;;KOMCA
T-060.724.820-3;;[International Music] NUMB - 100001124994;;KOMCA
T-061.671.982-4;;[International Music] OASIS - 100001355682;;KOMCA
T-061.839.962-4;;[International Music] OBLIVION - 100002715349;;KOMCA
;;[International Music] OH BODY - 100003544700;;KOMCA
T-060.766.779-7;;[International Music] OLD NOISES - 100001124995;;KOMCA
T-060.292.800-6;;[International Music] ONE MORE SHOT - 100001124996;;KOMCA
;;[International Music] ONLY SEE - 100001124997;;KOMCA
T-061.558.566-4;;[International Music] OPPORTUNITY - 100001124998;;KOMCA
T-915.451.857-7;;[International Music] OPULENCE - 100001121486;;KOMCA
T-060.607.024-9;;[International Music] OUCH - 100001124999;;KOMCA
T-060.828.122-6;;[International Music] PAGEANT OF THE BIZARRE - 100001125000;;KOMCA
T-061.542.800-6;;[International Music] PAPER TIGER - 100001125001;;KOMCA
T-060.284.567-9;;[International Music] PART - 100001125002;;KOMCA
;;[International Music] PASSENGER - 100000615046;;KOMCA
;;[International Music] PERFECT - 100001495478;;KOMCA
;;[International Music] PERFUME - 100000807952;;KOMCA
T-060.291.484-0;;[International Music] PERSONAL REVOLUTION - 100001125003;;KOMCA
T-060.821.886-5;;[International Music] PICTURES - 100001125004;;KOMCA
T-060.317.689-1;;[International Music] PIGMENT - 100001125005;;KOMCA
T-308.172.201-8;;[International Music] PIN DROP - 100004232117;;KOMCA
T-060.877.462-4;;[International Music] PISS & RUBBER - 100001125006;;KOMCA
;;[International Music] PITCH PERFECT FRANCHISE MEDLEY - 100002183048;;KOMCA
T-060.312.932-3;;[International Music] PITY - 100001125007;;KOMCA
;;[International Music] PLASTER - 100001125008;;KOMCA
T-060.822.318-2;;[International Music] PLAYGROUND - 100001125009;;KOMCA
T-061.510.122-8;;[International Music] POP ROCK - 100001125010;;KOMCA
;;[International Music] PRETTY HURTS - 100000805114;;KOMCA
T-060.282.782-6;;[International Music] PROBLEMS - 100001125011;;KOMCA
T-061.542.804-0;;[International Music] PULLS YOU UNDER - 100001125012;;KOMCA
;;[International Music] QUIT - 100001838378;;KOMCA
T-912.728.944-5;;[International Music] RADIO ACTIVE - 100001125013;;KOMCA
T-912.728.944-5;;[International Music] RADIOACTIVE - 100002562919;;KOMCA
T-061.808.669-3;;[International Music] RAINBOW - 100001829025;;KOMCA
T-060.312.946-9;;[International Music] REALISE YOU - 100001125014;;KOMCA
T-061.662.367-6;;[International Music] REAPER - 100001355641;;KOMCA
T-060.683.293-2;;[International Music] REWRITE - 100001125015;;KOMCA
T-060.607.026-1;;[International Music] RICOCHET - 100001125016;;KOMCA
;;[International Music] RIGHT TIME - 100001125017;;KOMCA
T-915.015.647-1;;[International Music] RISE UP - 100001125018;;KOMCA
