ISWC;workId;title;creators;source;date
;15.550.682;MIDNIGHT DECISIONS;SIA KATE I FURLER;SGAE;2024.9.28
;20.475.920;PLAY DUMB;SIA KATE I FURLER;SGAE;2024.9.28
;21.744.456;SANTA VISITS EVERYONE;SIA KATE I FURLER;SGAE;2024.9.28
;21.744.457;PIN DROP;SIA KATE I FURLER;SGAE;2024.9.28
;23.938.926;3 MINUTES TIL NEW YEARS;SIA KATE I FURLER;SGAE;2024.9.28
;23.938.927;12 NIGHTS;SIA KATE I FURLER;SGAE;2024.9.28
;23.938.928;NAUGHTY NICE;SIA KATE I FURLER;SGAE;2024.9.28
;25.715.266;GIMME LOVE;SIA KATE I FURLER;SGAE;2024.9.28
;26.632.569;DANCE ALONE;SIA KATE I FURLER;SGAE;2024.9.28
;19.116.814;SAVED MY LIFE;SIA KATE I FURLER;SGAE;2024.9.28
;19.116.814;SAVE MY LIFE;SIA KATE I FURLER;SGAE;2024.9.28
;15.316.815;JE TE PARDONNE FEAT SIA;SIA KATE I FURLER;SGAE;2024.9.28
;4.163.722;SOBER UNKISSED;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.556;I M NOT IMPORTANT TO YOU;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.573;BEAUTIFUL REALITY;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.578;DON T GET ME STARTED;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.582;DON T WANT TO WANT YOU;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.584;DOUBLE;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.585;GOT TO GET TO YOU;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.586;HURT A LITTLE LESS;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.587;MAD LOVE;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.588;NEVER AGAIN;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.589;ONLY SEE;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.590;PIGMENT;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.591;PITY;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.593;BUT NOTHING;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.594;SITUATION;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.596;SOON;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.597;STORIES;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.599;TAKE A WHILE;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.600;REALISE YOU;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.603;TREASURE;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.604;TAKE IT TO HEART;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.605;WHAT IS IT THAT YOU RE AFTER;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.606;TRIPOUTRO;SIA KATE I FURLER;SGAE;2024.9.28
;4.164.607;ASREPONOSIM;SIA KATE I FURLER;SGAE;2024.9.28
