ISWC;workId;title;creators;source
T-061.793.589-3;100003659278;1+1;;KOMCA
T-920.968.351-2;100002353188;A L INFINI;;KOMCA
T-060.312.944-7;100001124730;ABOUT;;KOMCA
T-060.821.847-8;100000884362;ACADEMIA;;KOMCA
T-061.413.669-4;100001124818;ACID RAIN;;KOMCA
T-061.731.006-1;100002680483;ALIVE;;KOMCA
T-061.197.972-6;100001124731;ALL IN YOUR HEAD;;KOMCA
T-060.877.440-8;100001124732;ALL MY LOVE I'LL SEND;;KOMCA
T-900.268.038-8;100001124733;ALL THE DJS LOVE YOU IN NEW YORK;;KOMCA
;100002526640;ANGEL IN YOUR EYES;;KOMCA
T-060.312.947-0;100001124734;ASREPONOSIM;;KOMCA
T-929.073.623-1;100002805856;BABY;;KOMCA
T-061.197.971-5;100001124735;BAD RECEIVER;;KOMCA
T-061.626.538-3;100001836781;BALLADINO;;KOMCA
;100001273308;BALLADINO;;KOMCA
T-061.526.556-9;100001078041;BANG MY HEAD;;KOMCA
T-061.419.701-1;100001124736;BATTLE CRY;;KOMCA
T-061.407.279-5;100000806598;BATTLEFIELD;;KOMCA
T-904.930.291-2;100000320336;BE GOOD TO ME;;KOMCA
T-060.766.770-8;100001124737;BEAUTIFUL CALM DRIVING;;KOMCA
T-061.524.551-6;100001124738;BEAUTIFUL PAIN;;KOMCA
T-060.312.934-5;100001124739;BEAUTIFUL REALITY;;KOMCA
T-061.476.122-6;100001124740;BEFORE I SLEEP;;KOMCA
T-060.607.016-9;100001124741;BIDDING WAR;;KOMCA
T-061.155.563-5;100001124742;BIG GIRL/LITTLE GIRL;;KOMCA
T-905.453.679-7;100001124743;BIGGER BETTER DEAL;;KOMCA
T-914.266.315-8;100001124744;BIRD SET FREE;;KOMCA
T-060.891.751-6;100001124745;BITING TONGUES;;KOMCA
;100001124746;BLACK BUTTERFLY;;KOMCA
T-060.877.441-9;100001124747;BLAME;;KOMCA
T-060.821.848-9;100001124748;BLAME IT ON THE RADIO;;KOMCA
T-061.380.630-6;100000516403;BLANK PAGE;;KOMCA
T-914.350.820-7;100001124749;BLINDED BY LOVE;;KOMCA
T-061.559.267-0;100001124750;BOTTLE;;KOMCA
T-061.541.426-0;100001124751;BOTTOMS UP;;KOMCA
T-061.198.023-4;100000101316;BOUND TO YOU;;KOMCA
T-061.596.641-0;100001124752;BOY PROBLEMS;;KOMCA
T-061.382.649-5;100001124753;BREAK THE WALLS;;KOMCA
T-061.450.271-4;100001124754;BREATHE;;KOMCA
T-060.607.019-2;100000417008;BREATHE ME;;KOMCA
;100000806716;BRIGHTEST MORNING STAR;;KOMCA
T-060.822.311-5;100001124755;BRING IT TO ME;;KOMCA
T-060.877.443-1;100001124756;BRING NIGHT;;KOMCA
T-061.476.112-4;100001124757;BRING THE PARTY;;KOMCA
;100001124758;BRING YOUR ARMS;;KOMCA
T-060.877.444-2;100001124759;BROKE MY HEAD;;KOMCA
T-060.739.387-2;100001124760;BROKEN BISCUIT;;KOMCA
T-060.877.445-3;100001124761;BRUISE LIKE A PEAR;;KOMCA
;100001124762;BURN THE PAGES;;KOMCA
T-060.877.446-4;100001124763;BUS STOP;;KOMCA
T-060.312.933-4;100001124764;BUT NOTHING;;KOMCA
T-060.735.185-8;100001124765;BUTTERFLIES;;KOMCA
T-060.948.428-7;100001124766;BUTTONS;;KOMCA
T-060.740.330-4;100001124767;BY YOUR SIDE;;KOMCA
T-060.950.027-7;100001124768;BYE BYE BYE;;KOMCA
;100000808327;CANNONBALL;;KOMCA
