ISWC;workId;title;creators;source
T0613826495;884505658;BREAK THE WALLS;FITZPATRICK MICHAEL, FURLER SIA KATE I, KARNES JOSEPH SCOTT, KING JAMES MIHDI, RUZUMNA JEREMY, SCAGGS NOELLE A, SEEFRIED CHRISTOPHER, WICKS JOHN MEREDITH;ASCAP
T0614502714;885811530;BREATHE;CORNISH JESSICA, ERIKSEN MIKKEL STORLEER, FURLER SIA KATE I, HERMANSEN TOR ERIK;ASCAP
T0606070192;321100778;BREATHE ME;CAREY DANIEL DE MUSSENDEN, FURLER SIA KATE I;ASCAP
T9133648530;886211999;BRIGHTEST MORNING STAR;FURLER SIA KATE I, GOTTWALD LUKASZ, SPEARS BRITNEY, WALTER HENRY RUSSELL;ASCAP
 ;321801092;BRING IT TO ME;FURLER SIA KATE I, FURLER SIA KATE I;ASCAP
T0608223115;904869033;BRING IT TO ME;FURLER SIA KATE I;ASCAP
T9148009205;321522572;BRING NIGHT;FURLER SIA KATE I, KURSTIN GREG;ASCAP
T0614761124;885186024;BRING THE PARTY;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I;ASCAP
T0614678613;885186030;BRING YOUR ARMS;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I, PIERSON KATE;ASCAP
T0607393872;904982327;BROKEN BISCUIT;FISCHER CHAD B, FURLER SIA KATE I;ASCAP
T0616536005;890049307;BROKEN GLASS;FURLER SIA KATE I, LEAK JASPER MAXIMILLIAN, SHATKIN JESSE SAMUEL;ASCAP
T0608774453;322067170;BRUISE LIKE A PEAR;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP
T0607351847;502120332;BULLY;FURLER SIA KATE I, HANSEN BECK DAVID, HOGARTH JAMES DEARNESS;ASCAP
T9142154276;886977804;BURN THE PAGES;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP
T0614423798;885129524;BUST ME OUT;BRAIDE CHRISTOPHER KENNETH, FURLER SIA KATE I;ASCAP
T0607351858;321291134;BUTTERFLIES;CORMACK KEVIN JAMES, FURLER SIA KATE I, HOGARTH JAMES DEARNESS;ASCAP
T0607351858;322401996;BUTTERFLIES;CORMACK KEVIN JAMES, FURLER SIA KATE I, HOGARTH JAMES DEARNESS;ASCAP
T0607403304;321424393;BY YOUR SIDE;FURLER SIA KATE I, KURSTIN GREG;ASCAP
 ;322776458;BYE, BYE, BYE;FISHER CHAD, FURLER SIA KATE I;ASCAP
 ;322888257;BYE, BYE, BYE;FISHER CHAD, FURLER SIA KATE I;ASCAP
T9231477784;893608139;CANDY CANE LANE;FURLER SIA KATE I, KURSTIN GREG;ASCAP
T9294780931;897800270;CANSEI DE SOFRER (LOVED ME BACK TO LIFE);FURLER SIA KATE I, HUSSAIN HASHAM S, MOTES DENARIUS ANTHONY, PAVANELLY MARA;ASCAP
T0607650805;331671991;CAR PARK;FURLER SIA KATE I, KURSTIN GREG;ASCAP
T0608223126;333622638;CARES AT THE DOOR;DIXON SAMUEL RONALD, FURLER SIA KATE I;ASCAP
T9170269724;888921408;CASUALTY;FURLER SIA KATE I, KURSTIN GREGORY ALLEN, MOORE ALECIA B;ASCAP
T0608774475;883896852;CATCHING ON;FRANK SAM, FURLER SIA KATE I;ASCAP
T9142663147;887002185;CELLOPHANE;FURLER SIA KATE I, KURSTIN GREGORY ALLEN;ASCAP
T9209976670;891991978;CHAINED TO THE RHYTHM;FURLER SIA KATE I, HUDSON KATHERYN ELIZABETH, MARLEY MINTO SKIP, MAX MARTIN, PAYAMI ALI;ASCAP
T9209976670;911011695;CHAINED TO THE RHYTHM;FURLER SIA KATE I, MARLEY MINTO SKIP, MAX MARTIN, PAYAMI ALI, PERRY KATY;ASCAP
T9223693412;892947320;CHAMPION;FURLER SIA KATE I, HURLEY ANDREW JOHN, SHATKIN JESSE SAMUEL, STUMPH PATRICK MARTIN, TROHMAN JOSEPH MARK, WENTZ PETER;ASCAP
T3194611326;921169808;CHAMPION;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP
T0614910336;886754448;CHANDELIER;FURLER SIA KATE I, SHATKIN JESSE SAMUEL;ASCAP
T9194837393;904314378;CHANDELIER REGGAE COVER;FURLER SIA KATE I, JACK PARRY VERNON;ASCAP
T9192605826;890665359;CHAOS;AALEGRA SNOH, FURLER SIA KATE I, WILSON ERNEST DION;ASCAP
T9316183172;906175370;CHASING PAPER;DIXON SAMUEL RONALD, FURLER SIA KATE I;ASCAP
T0614877007;886603903;CHASING SHADOWS;FURLER SIA KATE I, GARIBAY FERNANDO, KURSTIN GREG;ASCAP
T0616535875;890049305;CHEAP THRILLS;FURLER SIA KATE I, KURSTIN GREG;ASCAP
T9189875294;890325308;CHEAP THRILLS (FEAT SEAN PAUL);FURLER SIA KATE I, HENRIQUES SEAN PAUL, KURSTIN GREG;ASCAP
T0610946865;881101792;CLAP YOUR HANDS;DIXON SAMUEL RONALD, FURLER SIA KATE I;ASCAP
T0607667719;331800912;CLOCKWORK;DIXON SAM, FURLER SIA KATE I, FURLER SIA KATE I;ASCAP
T3082786203;332103718;CLOCKWORK LATEST;DIXON SAM, FURLER SIA KATE I;ASCAP
